Model,Year,Status,Mileage,Price,MSRP
2020 Acura TLX A-Spec,2020,Used,40.980 mi.,$30.74_),Not specified
2019 Acura ILX Base,2019,Used,31.1810 mi.,$20.80_),$191 price drop
2019 Acura RDX A-Spec,2019,Used,31.5510 mi.,Not Priced,Not specified
2018 Acura MDX 3.5L,2018,Used,54.4130 mi.,$29.50_),$500 price drop
2023 Acura TLX A-Spec,2023,New,Not available,$50.59_),Not specified
2022 Acura ILX Premium & A-SPEC Packages,2022,Used,20.0240 mi.,$26.26_),$329 price drop
2020 Acura RDX Technology Package,2020,Used,61.8870 mi.,$34.99_),Not specified
2022 Acura MDX A-Spec,2022,Used,6.6670 mi.,$57.68_),$970 price drop
2023 Acura RDX A-Spec,2023,New,Not available,$51.52_),Not specified
2022 Acura TLX Technology,2022,New,Not available,$44.49_),MSRP $44.495
2023 Acura MDX Technology,2023,Used,4.6730 mi.,$51.45_),Not specified
2022 Acura RDX A-Spec,2022,New,Not available,$47.95_),MSRP $47.945
2023 Acura MDX Advance,2023,New,Not available,$64.69_),MSRP $64.695
2019 Acura RDX Technology Package,2019,Used,32.6350 mi.,$35_),Not specified
2020 Acura ILX Premium Package,2020,Used,73.440 mi.,$21.98_),Not specified
2020 Acura RDX Technology Package,2020,Used,57.2950 mi.,$31.88_),Not specified
2022 Acura RDX Technology Package,2022,New,Not available,$47.15_),MSRP $47.145
2022 Acura TLX Technology,2022,Used,10.7560 mi.,$39.99_),Not specified
2022 Acura MDX Advance,2022,Used,11.6820 mi.,$41.50_),$500 price drop
2022 Acura TLX A-Spec,2022,Used,1.0 mi.,$47.94_),Not specified
2016 Acura RDX Technology Package,2016,Used,59.70 mi.,$23_),Not specified
2022 Acura TLX A-Spec,2022,New,Not available,$47.24_),MSRP $47.245
2023 Acura TLX Type S,2023,New,Not available,$57.74_),MSRP $57.745
2023 Acura TLX Technology,2023,New,Not available,$45.65_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$48.69_),Not specified
2014 Acura RLX Technology Package,2014,Used,122.7620 mi.,$15_),$200 price drop
2022 Acura RDX A-Spec Advance Package,2022,Used,2.6460 mi.,$50_),$3.000 price drop
2022 Acura TLX A-Spec,2022,Acura Certified,10.3880 mi.,$46.99_),Not specified
2020 Acura MDX 3.5L w/Advance Package,2020,Used,40.2070 mi.,$43.55_),Not specified
2021 Acura TLX Type S,2021,Acura Certified,24.580 mi.,$48.79_),$2.882 price drop
2019 Acura MDX 3.5L,2019,Used,25.0540 mi.,$35.99_),Not specified
2023 Acura Integra A-Spec Technology,2023,New,Not available,$37.40_),Not specified
2022 Acura TLX A-Spec,2022,New,Not available,$47.24_),Not specified
2012 Acura TL Technology,2012,Used,86.9350 mi.,$16.99_),Not specified
2023 Acura MDX Type S w/Advance,2023,New,Not available,$74.89_),MSRP $74.895
2018 Acura TLX V6 w/Technology Package,2018,Used,23.3990 mi.,$26.50_),$202 price drop
2022 Acura MDX Type S,2022,Used,5.2210 mi.,$64.42_),Not specified
2023 Acura RDX Technology Package,2023,New,Not available,$48.20_),MSRP $48.195
2023 Acura TLX Technology,2023,New,Not available,$45.24_),Not specified
2013 Acura TSX 2.4,2013,Used,97.6510 mi.,$17_),Not specified
2023 Acura Integra A-Spec,2023,Used,11.9130 mi.,$32.88_),Not specified
2023 Acura MDX Technology,2023,New,Not available,$57.15_),Not specified
2013 Acura TSX 2.4,2013,Used,112.1910 mi.,$13.97_),Not specified
2016 Acura RLX Sport Hybrid Advance Package,2016,Used,88.840 mi.,$24.99_),$1.485 price drop
2019 Acura TLX V6 Technology & A-Spec,2019,Used,33.3990 mi.,$33.99_),$1.629 price drop
2017 Acura ILX ,2017,Used,39.5950 mi.,$23_),Not specified
2023 Acura MDX Advance,2023,Used,3.230 mi.,$61.10_),Not specified
2020 Acura RDX Technology Package,2020,Used,31.0460 mi.,$32.49_),Not specified
2022 Acura MDX Advance,2022,New,Not available,$62.99_),Not specified
2023 Acura Integra w/A-Spec Package,2023,Used,3.120 mi.,$34.40_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$50.59_),MSRP $50.595
2020 Acura ILX Base,2020,Used,47.7880 mi.,$23_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$47.49_),MSRP $47.495
2023 Acura RDX Technology Package,2023,New,Not available,$47.90_),Not specified
2016 Acura RLX Advance Package,2016,Used,28.5890 mi.,$26.91_),Not specified
2020 Acura TLX A-Spec,2020,Used,62.3620 mi.,$28.75_),$922 price drop
2019 Acura MDX 3.5L w/Advance Package,2019,Used,53.1860 mi.,$33.44_),Not specified
2018 Acura RLX Sport Hybrid Advance Package,2018,Used,51.8410 mi.,$35.54_),$317 price drop
2023 Acura RDX A-Spec,2023,New,Not available,$48.70_),MSRP $48.695
2012 Acura TL Technology,2012,Used,100.350 mi.,$15_),Not specified
2023 Acura Integra A-Spec,2023,New,Not available,$34.40_),Not specified
2023 Acura RDX Advance Package,2023,New,Not available,$52.70_),MSRP $52.695
2023 Acura TLX Type S,2023,New,Not available,$57.74_),MSRP $57.745
2021 Acura RDX Base,2021,Used,23.1370 mi.,$39_),Not specified
2023 Acura TLX Type S,2023,New,Not available,$57.55_),MSRP $57.545
2023 Acura MDX Type S w/Advance Package,2023,New,Not available,$74.89_),Not specified
2023 Acura MDX Technology,2023,Used,2.5440 mi.,$50.82_),$781 price drop
2012 Acura TL Technology,2012,Used,133.3730 mi.,$11.99_),$500 price drop
2021 Acura RDX Technology Package,2021,Used,44.1780 mi.,$40.56_),Not specified
2021 Acura RDX PMC Edition,2021,Used,11.5420 mi.,$49_),$500 price drop
2021 Acura RDX A-Spec,2021,Used,7.0340 mi.,$44_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$50.90_),Not specified
2022 Acura TLX A-Spec,2022,New,Not available,$49.45_),Not specified
2021 Acura RDX A-Spec,2021,Used,14.2610 mi.,$38.52_),Not specified
2022 Acura TLX A-Spec,2022,Used,5.6910 mi.,$45.50_),$495 price drop
2023 Acura RDX A-Spec,2023,New,Not available,$48.70_),Not specified
2023 Acura RDX Technology Package,2023,New,Not available,$47.40_),Not specified
2023 Acura TLX Technology,2023,New,Not available,$44.74_),Not specified
2023 Acura MDX A-Spec,2023,New,Not available,$61.65_),Not specified
1992 Acura NSX ,1992,Used,32.9670 mi.,$69.50_),Not specified
2023 Acura Integra Base,2023,Acura Certified,5.8150 mi.,$34.48_),Not specified
2023 Acura RDX A-Spec Advance Package,2023,New,Not available,$55.05_),MSRP $55.045
2015 Acura TLX V6 Tech,2015,Used,84.3080 mi.,$17.94_),Not specified
2012 Acura TL 3.5,2012,Used,63.9980 mi.,$17_),Not specified
2019 Acura ILX Base,2019,Acura Certified,11.2080 mi.,$24.99_),$402 price drop
2023 Acura MDX Advance,2023,New,Not available,$64.69_),MSRP $64.695
2019 Acura MDX Sport Hybrid 3.0L w/Advance Package,2019,Used,39.1890 mi.,$40.55_),Not specified
2023 Acura MDX Type S w/Advance Package,2023,New,Not available,$74.89_),MSRP $74.895
2023 Acura TLX A-Spec,2023,New,Not available,$49.99_),Not specified
2020 Acura MDX 3.5L,2020,Used,27.020 mi.,$34.82_),Not specified
2022 Acura TLX A-Spec,2022,New,Not available,$46.74_),MSRP $46.745
2018 Acura MDX 3.5L w/Technology Package,2018,Used,42.3780 mi.,$31_),Not specified
2021 Acura ILX Technology Package,2021,Used,9.3270 mi.,$27.91_),Not specified
2023 Acura MDX Advance,2023,New,Not available,$65.46_),Not specified
2022 Acura TLX Type S,2022,New,Not available,$56.09_),Not specified
2023 Acura Integra w/A-Spec Package,2023,New,Not available,$34.40_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$50.40_),MSRP $49.200
2022 Acura TLX A-Spec,2022,Acura Certified,2.2170 mi.,$44.68_),Not specified
2011 Acura TSX 2.4,2011,Used,72.6040 mi.,$14.99_),$600 price drop
2023 Acura RDX A-Spec Advance,2023,New,Not available,$55.34_),MSRP $55.345
2020 Acura MDX 3.5L,2020,Used,36.3360 mi.,$34.99_),Not specified
2023 Acura MDX Type S w/Advance Package,2023,New,Not available,$74.89_),Not specified
2014 Acura RLX Technology Package,2014,Used,45.7960 mi.,$21.55_),Not specified
2020 Acura ILX Base,2020,Used,34.7830 mi.,$23_),Not specified
2012 Acura MDX Tech Pkg,2012,Used,118.1930 mi.,$15_),Not specified
2019 Acura RDX Base,2019,Used,85.9730 mi.,$24.50_),Not specified
2023 Acura MDX Technology,2023,New,Not available,$58.15_),Not specified
2023 Acura RDX A-Spec Advance,2023,New,Not available,$55.34_),Not specified
2023 Acura RDX A-Spec Advance Package,2023,New,Not available,$55.34_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$48.70_),MSRP $48.695
2020 Acura RDX A-Spec,2020,Used,31.5090 mi.,$36_),Not specified
2022 Acura MDX A-Spec,2022,Used,42.5260 mi.,$51.75_),$200 price drop
2023 Acura Integra A-Spec Technology,2023,New,Not available,$44.03_),Not specified
2017 Acura RLX Advance Package,2017,Used,6.0760 mi.,$39.72_),Not specified
2019 Acura TLX V6 Technology & A-Spec,2019,Used,53.790 mi.,$29_),$599 price drop
2017 Acura RDX Technology Package,2017,Used,24.4090 mi.,$29.82_),$100 price drop
2019 Acura RDX Technology Package,2019,Used,18.9630 mi.,$36.99_),Not specified
2023 Acura MDX Advance,2023,New,Not available,$64.69_),Not specified
2023 Acura RDX A-Spec Advance,2023,New,Not available,$55.05_),MSRP $55.045
2019 Acura RDX A-Spec,2019,Used,17.7480 mi.,$39.20_),$3.297 price drop
2007 Acura TL Type S w/Navigation,2007,Used,201.1950 mi.,$9.47_),Not specified
2020 Acura TLX V6 w/Technology Package,2020,Used,32.1310 mi.,$30.89_),Not specified
2021 Acura RDX Technology Package,2021,Used,14.0 mi.,$42.99_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$51.20_),Not specified
2018 Acura TLX V6 Advance,2018,Used,66.6140 mi.,$23_),$500 price drop
2023 Acura MDX Technology,2023,New,Not available,$55.45_),MSRP $55.445
2023 Acura RDX A-Spec Advance,2023,New,Not available,$55.05_),MSRP $55.045
2020 Acura RDX Base,2020,Acura Certified,24.8790 mi.,$31.49_),$571 price drop
2016 Acura MDX 3.5L,2016,Used,91.690 mi.,$21.04_),Not specified
2019 Acura MDX 3.5L w/Advance Package,2019,Used,38.0840 mi.,$36.50_),$980 price drop
2020 Acura TLX Technology,2020,Acura Certified,11.5960 mi.,$29_),Not specified
2022 Acura TLX A-Spec,2022,Used,12.2120 mi.,$39.66_),$1.236 price drop
2015 Acura RDX Technology Package,2015,Used,95.6190 mi.,$18.49_),$500 price drop
2018 Acura TLX V6 A-Spec,2018,Used,37.3410 mi.,$27.30_),Not specified
2017 Acura MDX 3.5L,2017,Used,86.4970 mi.,$27_),Not specified
2020 Acura TLX FWD,2020,Used,21.2420 mi.,$29.77_),Not specified
2022 Acura MDX A-Spec,2022,Used,16.040 mi.,$53_),Not specified
2016 Acura TLX Tech,2016,Used,97.8780 mi.,$20_),Not specified
2007 Acura TSX ,2007,Used,172.650 mi.,$4_),$500 price drop
2019 Acura MDX Sport Hybrid 3.0L w/Technology Package,2019,Acura Certified,35.3780 mi.,$39.95_),Not specified
2020 Acura TLX V6 w/Technology Package,2020,Used,26.120 mi.,$30_),Not specified
2021 Acura RDX Technology Package,2021,Acura Certified,29.7180 mi.,$39_),Not specified
2017 Acura MDX 3.5L,2017,Used,74.8670 mi.,$24.98_),Not specified
2002 Acura RSX Type S,2002,Used,70.9390 mi.,$17.50_),Not specified
2020 Acura MDX 3.5L w/Technology Package,2020,Acura Certified,36.4470 mi.,$36.99_),$1.299 price drop
2020 Acura RDX Technology Package,2020,Used,60.130 mi.,$31.92_),$4.068 price drop
2023 Acura Integra w/A-Spec Package,2023,Used,1.9740 mi.,$34.50_),Not specified
2022 Acura ILX Premium & A-SPEC Packages,2022,Acura Certified,12.3070 mi.,$29.57_),$404 price drop
2022 Acura MDX Advance Package,2022,Used,9.2760 mi.,Not Priced,Not specified
2018 Acura MDX 3.5L,2018,Used,30.7980 mi.,$29.01_),$405 price drop
2023 Acura MDX Type S w/Advance Package,2023,New,Not available,$73.20_),Not specified
2023 Acura TLX Type S,2023,New,Not available,$57.74_),MSRP $57.745
2012 Acura TSX 2.4,2012,Used,78.5260 mi.,$15.59_),$400 price drop
2023 Acura TLX Technology,2023,New,Not available,$45.65_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$47.80_),Not specified
2020 Acura MDX 3.5L w/Technology Package,2020,Used,27.4620 mi.,$35.30_),$1.700 price drop
2006 Acura TL 3.2,2006,Used,112.8040 mi.,$6.50_),Not specified
2019 Acura TLX Technology,2019,Used,23.4510 mi.,$28.49_),$1.403 price drop
2023 Acura MDX A-Spec,2023,New,Not available,$61.65_),MSRP $59.950
2023 Acura RDX A-Spec,2023,New,Not available,$51.20_),MSRP $51.195
2020 Acura TLX V6,2020,Used,13.7690 mi.,$28.42_),$500 price drop
2023 Acura TLX A-Spec,2023,New,Not available,$50.59_),Not specified
2020 Acura MDX 3.5L w/Technology Package,2020,Used,41.0860 mi.,$36.99_),$514 price drop
2023 Acura TLX A-Spec,2023,New,Not available,$48.30_),MSRP $46.600
2018 Acura RLX Technology Package,2018,Used,45.5030 mi.,$28.88_),$607 price drop
2021 Acura RDX Base,2021,Used,20.4180 mi.,$34.99_),$497 price drop
2023 Acura RDX A-Spec,2023,New,Not available,$48.70_),Not specified
2023 Acura MDX Type S,2023,New,Not available,$69.05_),MSRP $69.045
2021 Acura ILX Technology Package,2021,Used,7.9440 mi.,$31.90_),Not specified
2022 Acura ILX Premium and A-SPEC Packages,2022,Acura Certified,5.9630 mi.,$28.05_),$1.896 price drop
2023 Acura Integra A-Spec Technology,2023,New,Not available,$37.40_),MSRP $37.395
2019 Acura MDX 3.5L Technology & A-Spec Pkgs,2019,Used,36.8060 mi.,$37.49_),Not specified
2022 Acura RDX A-Spec,2022,New,Not available,$49.49_),MSRP $49.495
2022 Acura RDX Technology Package,2022,New,Not available,$44.95_),Not specified
2019 Acura TLX V6 Technology & A-Spec,2019,Used,13.1270 mi.,$35.67_),Not specified
2019 Acura RDX Advance Package,2019,Used,45.6130 mi.,$40_),Not specified
2019 Acura MDX Sport Hybrid 3.0L w/Advance Package,2019,Acura Certified,48.3450 mi.,$39.98_),Not specified
2023 Acura MDX Advance,2023,New,Not available,$65.19_),Not specified
2013 Acura RDX Technology,2013,Used,73.3230 mi.,$18.30_),Not specified
2019 Acura MDX 3.5L w/Technology Package,2019,Used,62.8830 mi.,$33.98_),Not specified
2023 Acura RDX Technology Package,2023,New,Not available,$45.99_),MSRP $45.995
2017 Acura MDX 3.5L,2017,Used,64.3320 mi.,$26.90_),Not specified
2023 Acura Integra A-Spec Technology,2023,New,Not available,$38.09_),MSRP $38.095
2023 Acura TLX Advance,2023,New,Not available,$52.84_),MSRP $52.845
2022 Acura TLX A-Spec,2022,Used,3.7390 mi.,$43.73_),Not specified
2022 Acura MDX Type S w/Advance Package,2022,New,Not available,$73.75_),MSRP $73.745
2016 Acura TLX V6 Tech,2016,Used,78.7420 mi.,$16.50_),$400 price drop
2016 Acura RLX Technology Package,2016,Used,49.7180 mi.,$21.84_),Not specified
2019 Acura TLX FWD,2019,Acura Certified,22.5570 mi.,$24.98_),Not specified
2019 Acura ILX Technology Package,2019,Used,44.6280 mi.,$21.79_),$1.695 price drop
2022 Acura MDX Advance,2022,Used,11.9630 mi.,$50.99_),$2.306 price drop
2017 Acura NSX Base,2017,Used,16.670 mi.,$134.99_),Not specified
2019 Acura MDX 3.5L w/Technology & Entertainment Pkgs,2019,Used,53.6930 mi.,$34.50_),$800 price drop
2023 Acura TLX Type S,2023,New,Not available,$58.15_),Not specified
2019 Acura MDX 3.5L w/Advance Package,2019,Used,29.60 mi.,$38.79_),Not specified
2012 Acura TSX Technology,2012,Used,126.9340 mi.,$11.50_),$500 price drop
2016 Acura TLX Tech,2016,Used,29.1840 mi.,$24_),$1.000 price drop
2019 Acura MDX 3.5L w/Technology Package,2019,Used,53.280 mi.,$32.36_),$357 price drop
2015 Acura MDX 3.5L Technology Package,2015,Used,99.40 mi.,$21.59_),Not specified
2020 Acura TLX FWD,2020,Used,33.4940 mi.,$22.78_),$238 price drop
2023 Acura MDX Advance,2023,New,Not available,$65.19_),MSRP $65.195
2015 Acura TLX V6 Tech,2015,Used,168.1970 mi.,$11.39_),Not specified
2022 Acura MDX Technology,2022,Used,28.9920 mi.,$44.56_),$1.311 price drop
2017 Acura NSX Base,2017,Used,24.080 mi.,$123.99_),$2.782 price drop
2014 Acura MDX 3.5L,2014,Used,116.7610 mi.,$17.67_),$229 price drop
2020 Acura ILX Base,2020,Acura Certified,18.3610 mi.,$23_),$2.498 price drop
2023 Acura RDX A-Spec,2023,New,Not available,$51.20_),MSRP $51.195
2011 Acura MDX 3.7L,2011,Used,122.6060 mi.,$12.39_),Not specified
2010 Acura TSX 2.4,2010,Used,46.450 mi.,$15.99_),Not specified
2023 Acura MDX A-Spec,2023,New,Not available,$61.65_),Not specified
2014 Acura ILX 2.0L w/Premium Package,2014,Used,56.6150 mi.,$19_),Not specified
2015 Acura TLX Tech,2015,Used,102.670 mi.,$17_),Not specified
2022 Acura TLX A-Spec,2022,New,Not available,$47.24_),MSRP $47.245
2020 Acura MDX 3.5L w/Technology Package,2020,Used,67.9160 mi.,$31.30_),$694 price drop
2020 Acura MDX 3.5L,2020,Used,10.1580 mi.,$42_),$600 price drop
2023 Acura RDX A-Spec,2023,New,Not available,$48.70_),Not specified
2017 Acura MDX 3.5L w/Technology Package,2017,Used,61.0520 mi.,$27.48_),Not specified
2014 Acura ILX 2.0L w/Premium Package,2014,Used,96.6370 mi.,$16_),Not specified
2022 Acura MDX A-Spec,2022,Used,10.2060 mi.,$51.27_),$365 price drop
2022 Acura TLX A-Spec,2022,New,Not available,$49.45_),MSRP $49.445
2022 Acura TLX Technology,2022,New,Not available,$46.70_),MSRP $46.695
2023 Acura Integra w/A-Spec Package,2023,Used,669.0 mi.,$34.40_),Not specified
2022 Acura MDX A-Spec,2022,Used,9.2010 mi.,$53.99_),Not specified
2020 Acura MDX 3.5L w/Technology Package,2020,Used,21.930 mi.,$40.32_),Not specified
2015 Acura MDX 3.5L Technology Package,2015,Used,75.730 mi.,$19.49_),$500 price drop
2020 Acura RDX Technology Package,2020,Used,15.8170 mi.,$34.99_),Not specified
2023 Acura RDX Advance Package,2023,New,Not available,$53.34_),Not specified
2023 Acura RDX Technology Package,2023,New,Not available,$48.20_),MSRP $48.195
2010 Acura TSX 2.4,2010,Used,118.960 mi.,$12_),Not specified
2023 Acura Integra Base,2023,Used,5.0620 mi.,$32.35_),Not specified
2023 Acura Integra w/A-Spec Tech Package,2023,New,Not available,$38.09_),Not specified
2023 Acura MDX w/A-Spec Package,2023,New,Not available,$61.65_),MSRP $61.645
2013 Acura ILX Hybrid 1.5L,2013,Used,108.9790 mi.,$13_),Not specified
2023 Acura MDX A-Spec,2023,New,Not available,$61.15_),MSRP $61.145
2022 Acura TLX Base,2022,New,Not available,$39.99_),MSRP $39.995
2023 Acura RDX A-Spec Advance Package,2023,New,Not available,$55.05_),Not specified
2023 Acura RDX Technology Package,2023,New,Not available,$47.90_),Not specified
2015 Acura TLX V6,2015,Used,74.440 mi.,$18.20_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$50.90_),MSRP $50.895
2021 Acura TLX Technology,2021,Used,17.0330 mi.,$39_),Not specified
2016 Acura RLX Technology Package,2016,Used,41.5620 mi.,$23.27_),$175 price drop
2020 Acura TLX A-Spec,2020,Used,20.8420 mi.,$31_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$50.59_),MSRP $50.595
2019 Acura TLX V6 Technology & A-Spec,2019,Used,44.8320 mi.,$27.99_),Not specified
2021 Acura TLX Technology,2021,Acura Certified,4.5760 mi.,$32.99_),Not specified
2019 Acura MDX 3.5L,2019,Used,40.6290 mi.,$32.38_),Not specified
2021 Acura ILX Premium & A-SPEC Packages,2021,Used,4.4590 mi.,$29.90_),$2.591 price drop
2019 Acura RDX Advance Package,2019,Used,21.9920 mi.,$34.90_),$730 price drop
2023 Acura MDX Advance,2023,New,Not available,$64.69_),Not specified
2021 Acura TLX Technology,2021,Used,16.2470 mi.,$32.99_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$47.99_),MSRP $47.995
2021 Acura TLX Technology,2021,Used,20.5730 mi.,$33.76_),$1.656 price drop
2021 Acura RDX A-Spec,2021,Acura Certified,10.8910 mi.,$38.49_),$500 price drop
2020 Acura ILX Premium Package,2020,Acura Certified,30.020 mi.,$23.99_),$499 price drop
2023 Acura MDX Technology,2023,New,Not available,$58.15_),Not specified
2021 Acura TLX Technology,2021,Acura Certified,10.6140 mi.,$35_),$997 price drop
2022 Acura MDX Technology,2022,New,Not available,$54.24_),Not specified
2014 Acura ILX 2.0L Technology,2014,Used,180.4660 mi.,$10.55_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$50.90_),Not specified
2023 Acura TLX Type S,2023,New,Not available,$56.95_),MSRP $56.945
2020 Acura TLX V6,2020,Used,20.1460 mi.,$34.75_),$200 price drop
2017 Acura RDX Base,2017,Used,47.2580 mi.,$25.98_),Not specified
2023 Acura MDX Technology,2023,New,Not available,$58.24_),Not specified
2020 Acura ILX Premium Package,2020,Used,25.340 mi.,$24_),Not specified
2016 Acura TLX V6,2016,Used,59.3880 mi.,$21.48_),$403 price drop
2015 Acura TLX V6,2015,Used,74.0170 mi.,$19.99_),Not specified
2023 Acura Integra A-Spec Technology,2023,Used,6.5420 mi.,$35.98_),Not specified
2023 Acura TLX Advance,2023,New,Not available,$52.84_),MSRP $52.845
2015 Acura RLX Technology Package,2015,Used,74.4370 mi.,$18.99_),Not specified
2018 Acura MDX 3.5L w/Advance Package,2018,Used,53.3890 mi.,$37.99_),Not specified
2023 Acura Integra A-Spec,2023,New,Not available,$34.40_),MSRP $34.395
2023 Acura MDX Advance,2023,New,Not available,$65.19_),MSRP $63.500
2023 Acura MDX Advance,2023,New,Not available,$66.06_),Not specified
2023 Acura TLX Type S,2023,New,Not available,$57.74_),MSRP $57.745
2014 Acura TL Technology,2014,Used,125.1720 mi.,$16.70_),$130 price drop
2022 Acura RDX A-Spec,2022,Acura Certified,2.0030 mi.,$45.89_),Not specified
2016 Acura RDX Advance Package,2016,Used,59.0050 mi.,$22.60_),Not specified
2022 Acura ILX w/Premium/A-Spec Package,2022,Acura Certified,6.4450 mi.,$29.97_),Not specified
2023 Acura Integra Base,2023,New,Not available,$31.39_),MSRP $32.395
2022 Acura MDX Type S w/Advance Package,2022,Used,4.0920 mi.,$66.99_),Not specified
2021 Acura TLX A-Spec,2021,Used,31.9250 mi.,$36.90_),Not specified
2020 Acura MDX 3.5L,2020,Acura Certified,52.6890 mi.,$34.88_),Not specified
2010 Acura MDX Technology Pkg,2010,Used,138.40 mi.,$10.78_),Not specified
2019 Acura TLX Technology,2019,Used,58.660 mi.,$23.79_),$200 price drop
2021 Acura RDX Technology Package,2021,Acura Certified,12.8320 mi.,$41_),$300 price drop
2022 Acura MDX Type S w/Advance Package,2022,Acura Certified,11.5360 mi.,$64.99_),Not specified
2016 Acura ILX 2.4L,2016,Used,52.9060 mi.,$19_),Not specified
2023 Acura Integra Base,2023,New,Not available,$31.89_),MSRP $31.895
2009 Acura TSX ,2009,Used,142.5450 mi.,$9_),Not specified
2016 Acura RLX Technology Package,2016,Used,25.7330 mi.,$27.77_),Not specified
2020 Acura ILX Premium Package,2020,Acura Certified,36.9350 mi.,$25.99_),Not specified
2012 Acura TSX 2.4,2012,Used,84.3720 mi.,$14.67_),Not specified
2014 Acura RLX Technology Package,2014,Used,56.5010 mi.,$20_),$500 price drop
2023 Acura TLX A-Spec,2023,New,Not available,$49.70_),Not specified
2020 Acura RDX Base,2020,Acura Certified,43.0950 mi.,$32.99_),$500 price drop
2022 Acura MDX Base,2022,Acura Certified,45.7460 mi.,$42.88_),Not specified
2019 Acura RDX A-Spec,2019,Used,59.8550 mi.,$35.90_),$100 price drop
2005 Acura RL 3.5,2005,Used,140.0 mi.,$8_),Not specified
2023 Acura TLX Technology,2023,New,Not available,$44.74_),Not specified
2018 Acura TLX V6 A-Spec,2018,Used,49.2170 mi.,$26.98_),Not specified
2019 Acura MDX 3.5L,2019,Used,53.6550 mi.,$30.28_),$510 price drop
2012 Acura TL Technology,2012,Used,121.4720 mi.,$12.99_),Not specified
2017 Acura MDX 3.5L w/Technology Package,2017,Used,64.490 mi.,$27.95_),Not specified
2023 Acura TLX Type S w/Performance Tire,2023,New,Not available,$58.15_),Not specified
2022 Acura MDX Advance,2022,Used,35.2220 mi.,$49.99_),$1.000 price drop
2023 Acura Integra A-Spec Technology,2023,New,Not available,$38.57_),MSRP $37.395
2023 Acura MDX A-Spec,2023,Acura Certified,4.2710 mi.,$59.98_),Not specified
2018 Acura ILX Special Edition,2018,Used,39.5240 mi.,$21.59_),$327 price drop
2015 Acura ILX 2.0L,2015,Used,110.5340 mi.,$17_),Not specified
2014 Acura MDX 3.5L Technology Package,2014,Used,79.8730 mi.,$21.99_),Not specified
2023 Acura Integra w/A-Spec Package,2023,New,Not available,$34.40_),Not specified
2021 Acura TLX Base,2021,Used,36.6050 mi.,$29.31_),$2.070 price drop
2023 Acura TLX A-Spec,2023,New,Not available,$50.20_),MSRP $50.195
2023 Acura TLX Type S,2023,New,Not available,$57.74_),MSRP $57.745
2023 Acura Integra w/A-Spec Package,2023,New,Not available,$34.40_),Not specified
2020 Acura TLX FWD,2020,Used,43.7440 mi.,$22.59_),$175 price drop
2019 Acura ILX Base,2019,Used,12.1950 mi.,$21.20_),Not specified
2022 Acura RDX Technology Package,2022,New,Not available,$47.15_),Not specified
2023 Acura Integra A-Spec Technology,2023,Used,2.4540 mi.,$36.29_),Not specified
2017 Acura TLX w/Technology Package,2017,Used,34.5660 mi.,$20.75_),$253 price drop
2021 Acura ILX Premium & A-SPEC Packages,2021,Acura Certified,7.3140 mi.,$32.99_),Not specified
2017 Acura MDX 3.5L w/Technology Package,2017,Used,90.0090 mi.,$23.93_),Not specified
2020 Acura TLX Technology,2020,Used,36.5530 mi.,$26.50_),$1.500 price drop
2021 Acura ILX Premium & A-SPEC Packages,2021,Acura Certified,33.3340 mi.,$27.59_),$402 price drop
2012 Acura TL 3.5,2012,Used,111.320 mi.,$15.50_),Not specified
2017 Acura NSX Base,2017,Used,23.530 mi.,$129.50_),Not specified
2019 Acura TLX V6 Technology & A-Spec,2019,Used,14.440 mi.,$35.62_),$200 price drop
2019 Acura MDX 3.5L,2019,Used,39.3020 mi.,$32.39_),$1.054 price drop
2015 Acura MDX 3.5L,2015,Used,42.4360 mi.,$24_),Not specified
2022 Acura ILX Premium Package,2022,Acura Certified,18.4910 mi.,$28.50_),$2.955 price drop
2021 Acura RDX Technology Package,2021,Used,46.3140 mi.,$35.59_),$400 price drop
2016 Acura MDX ,2016,Used,106.8050 mi.,$19.99_),Not specified
2022 Acura RDX A-Spec,2022,New,Not available,$47.95_),MSRP $47.945
2020 Acura MDX 3.5L,2020,Acura Certified,31.0870 mi.,$34.16_),Not specified
2020 Acura RLX Sport Hybrid Advance Package,2020,Acura Certified,59.5030 mi.,$35.96_),Not specified
2011 Acura MDX 3.7L,2011,Used,66.6970 mi.,$20_),Not specified
2021 Acura TLX Advance,2021,Used,19.4120 mi.,$40.38_),$254 price drop
2019 Acura MDX 3.5L w/Advance Package,2019,Used,49.4830 mi.,$35.95_),$500 price drop
2020 Acura ILX Premium Package,2020,Used,59.8960 mi.,$23.50_),Not specified
2019 Acura ILX ,2019,Used,39.8940 mi.,$24_),$803 price drop
